Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='CS', device=0, dprate=0.5, dropout=0.5, early_stopping=200, epochs=500, heads=8, hidden=32, lr=0.1, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.6, val_rate=0.2, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(2.7843)  val_loss tensor(2.7864)  tmp_train_acc 0.08050521691378364  tmp_test_acc 0.019600791224599894  test_acc 0.019600791224599894
1 : train_loss tensor(2.4567)  val_loss tensor(2.5938)  tmp_train_acc 0.1513454146073586  tmp_test_acc 0.07876281244380508  test_acc 0.07876281244380508
2 : train_loss tensor(1.8549)  val_loss tensor(1.7644)  tmp_train_acc 0.36661175178473365  tmp_test_acc 0.6015105196907031  test_acc 0.6015105196907031
3 : train_loss tensor(1.2814)  val_loss tensor(1.2278)  tmp_train_acc 0.5873695771554092  tmp_test_acc 0.6950188814961338  test_acc 0.6950188814961338
4 : train_loss tensor(1.1222)  val_loss tensor(0.8845)  tmp_train_acc 0.6314113124656782  tmp_test_acc 0.7903254810285921  test_acc 0.7903254810285921
5 : train_loss tensor(0.6838)  val_loss tensor(0.4071)  tmp_train_acc 0.8115321252059308  tmp_test_acc 0.9070311095126776  test_acc 0.9070311095126776
6 : train_loss tensor(0.5255)  val_loss tensor(0.3639)  tmp_train_acc 0.8389895661724327  tmp_test_acc 0.8935443265599712  test_acc 0.8935443265599712
7 : train_loss tensor(0.3938)  val_loss tensor(0.2776)  tmp_train_acc 0.8872048325096101  tmp_test_acc 0.9180003596475456  test_acc 0.9180003596475456
8 : train_loss tensor(0.4370)  val_loss tensor(0.4811)  tmp_train_acc 0.8672158154859967  tmp_test_acc 0.8534436252472577  test_acc 0.9180003596475456
9 : train_loss tensor(0.3481)  val_loss tensor(0.3768)  tmp_train_acc 0.9036792970895112  tmp_test_acc 0.8994785110591621  test_acc 0.9180003596475456
10 : train_loss tensor(0.4247)  val_loss tensor(0.2864)  tmp_train_acc 0.8787479406919275  tmp_test_acc 0.9158424743751123  test_acc 0.9180003596475456
11 : train_loss tensor(0.3719)  val_loss tensor(0.2683)  tmp_train_acc 0.8867655134541461  tmp_test_acc 0.9142240604207876  test_acc 0.9142240604207876
12 : train_loss tensor(0.3827)  val_loss tensor(0.2640)  tmp_train_acc 0.8945634266886326  tmp_test_acc 0.925552958101061  test_acc 0.925552958101061
13 : train_loss tensor(0.3465)  val_loss tensor(0.2193)  tmp_train_acc 0.8980779791323449  tmp_test_acc 0.930588023736738  test_acc 0.930588023736738
14 : train_loss tensor(0.3347)  val_loss tensor(0.2699)  tmp_train_acc 0.9026908292147172  tmp_test_acc 0.9257327818737636  test_acc 0.930588023736738
15 : train_loss tensor(0.3664)  val_loss tensor(0.3453)  tmp_train_acc 0.9009335529928609  tmp_test_acc 0.9115267038302464  test_acc 0.930588023736738
16 : train_loss tensor(0.3238)  val_loss tensor(0.2308)  tmp_train_acc 0.9068643602416255  tmp_test_acc 0.9316669663729545  test_acc 0.930588023736738
17 : train_loss tensor(0.3986)  val_loss tensor(0.3703)  tmp_train_acc 0.8920373421197144  tmp_test_acc 0.9113468800575436  test_acc 0.930588023736738
18 : train_loss tensor(0.3564)  val_loss tensor(0.2693)  tmp_train_acc 0.8981878088962109  tmp_test_acc 0.9217766588743032  test_acc 0.930588023736738
19 : train_loss tensor(0.3670)  val_loss tensor(0.3671)  tmp_train_acc 0.8921471718835805  tmp_test_acc 0.8874303182880777  test_acc 0.930588023736738
20 : train_loss tensor(0.3571)  val_loss tensor(0.3145)  tmp_train_acc 0.8966501922020867  tmp_test_acc 0.90523287178565  test_acc 0.930588023736738
21 : train_loss tensor(0.3518)  val_loss tensor(0.3346)  tmp_train_acc 0.8967600219659527  tmp_test_acc 0.9109872325121381  test_acc 0.930588023736738
22 : train_loss tensor(0.3189)  val_loss tensor(0.3523)  tmp_train_acc 0.9020318506315211  tmp_test_acc 0.8935443265599712  test_acc 0.930588023736738
23 : train_loss tensor(0.3777)  val_loss tensor(0.3402)  tmp_train_acc 0.8892915980230642  tmp_test_acc 0.902355691422406  test_acc 0.930588023736738
24 : train_loss tensor(0.3507)  val_loss tensor(0.3056)  tmp_train_acc 0.8924766611751784  tmp_test_acc 0.9115267038302464  test_acc 0.930588023736738
25 : train_loss tensor(0.3012)  val_loss tensor(0.2873)  tmp_train_acc 0.9146622734761121  tmp_test_acc 0.923395072828628  test_acc 0.930588023736738
26 : train_loss tensor(0.3556)  val_loss tensor(0.3417)  tmp_train_acc 0.8902800658978584  tmp_test_acc 0.904513576694839  test_acc 0.930588023736738
27 : train_loss tensor(0.3204)  val_loss tensor(0.2260)  tmp_train_acc 0.9090609555189456  tmp_test_acc 0.934184499190793  test_acc 0.930588023736738
28 : train_loss tensor(0.3335)  val_loss tensor(0.2710)  tmp_train_acc 0.9024711696869852  tmp_test_acc 0.9190793022837619  test_acc 0.930588023736738
29 : train_loss tensor(0.3603)  val_loss tensor(0.2532)  tmp_train_acc 0.8982976386600768  tmp_test_acc 0.9332853803272793  test_acc 0.930588023736738
30 : train_loss tensor(0.3200)  val_loss tensor(0.2464)  tmp_train_acc 0.9074135090609555  tmp_test_acc 0.932745909009171  test_acc 0.930588023736738
31 : train_loss tensor(0.3511)  val_loss tensor(0.3210)  tmp_train_acc 0.8947830862163646  tmp_test_acc 0.9091889947851106  test_acc 0.930588023736738
32 : train_loss tensor(0.2924)  val_loss tensor(0.2565)  tmp_train_acc 0.915760571114772  tmp_test_acc 0.9239345441467361  test_acc 0.930588023736738
33 : train_loss tensor(0.3280)  val_loss tensor(0.2757)  tmp_train_acc 0.9067545304777593  tmp_test_acc 0.9187196547383565  test_acc 0.930588023736738
34 : train_loss tensor(0.3208)  val_loss tensor(0.2390)  tmp_train_acc 0.900384404173531  tmp_test_acc 0.9311274950548464  test_acc 0.930588023736738
35 : train_loss tensor(0.3319)  val_loss tensor(0.3309)  tmp_train_acc 0.9017023613399231  tmp_test_acc 0.9138644128753821  test_acc 0.930588023736738
36 : train_loss tensor(0.3273)  val_loss tensor(0.2167)  tmp_train_acc 0.9021416803953871  tmp_test_acc 0.9402985074626865  test_acc 0.9402985074626865
37 : train_loss tensor(0.3165)  val_loss tensor(0.2200)  tmp_train_acc 0.9109280615046678  tmp_test_acc 0.9390397410537673  test_acc 0.9402985074626865
38 : train_loss tensor(0.2928)  val_loss tensor(0.2485)  tmp_train_acc 0.915760571114772  tmp_test_acc 0.9259126056464666  test_acc 0.9402985074626865
39 : train_loss tensor(0.3178)  val_loss tensor(0.2528)  tmp_train_acc 0.9092806150466776  tmp_test_acc 0.9309476712821435  test_acc 0.9402985074626865
40 : train_loss tensor(0.2924)  val_loss tensor(0.2642)  tmp_train_acc 0.9186161449752883  tmp_test_acc 0.9275310196007912  test_acc 0.9402985074626865
41 : train_loss tensor(0.2909)  val_loss tensor(0.2350)  tmp_train_acc 0.9105985722130697  tmp_test_acc 0.932745909009171  test_acc 0.9402985074626865
42 : train_loss tensor(0.2880)  val_loss tensor(0.2159)  tmp_train_acc 0.91444261394838  tmp_test_acc 0.934184499190793  test_acc 0.934184499190793
43 : train_loss tensor(0.3055)  val_loss tensor(0.2414)  tmp_train_acc 0.9096101043382757  tmp_test_acc 0.9287897860097105  test_acc 0.934184499190793
44 : train_loss tensor(0.3145)  val_loss tensor(0.2398)  tmp_train_acc 0.9110378912685336  tmp_test_acc 0.9359827369178205  test_acc 0.934184499190793
45 : train_loss tensor(0.2839)  val_loss tensor(0.2218)  tmp_train_acc 0.9107084019769357  tmp_test_acc 0.936342384463226  test_acc 0.934184499190793
46 : train_loss tensor(0.3368)  val_loss tensor(0.3825)  tmp_train_acc 0.8970895112575508  tmp_test_acc 0.8879697896061859  test_acc 0.934184499190793
47 : train_loss tensor(0.2929)  val_loss tensor(0.2195)  tmp_train_acc 0.9111477210323998  tmp_test_acc 0.9359827369178205  test_acc 0.934184499190793
48 : train_loss tensor(0.3022)  val_loss tensor(0.2559)  tmp_train_acc 0.9129049972542559  tmp_test_acc 0.9248336630102499  test_acc 0.934184499190793
49 : train_loss tensor(0.3073)  val_loss tensor(0.2682)  tmp_train_acc 0.9030203185063153  tmp_test_acc 0.9187196547383565  test_acc 0.934184499190793
50 : train_loss tensor(0.3070)  val_loss tensor(0.3154)  tmp_train_acc 0.9068643602416255  tmp_test_acc 0.9050530480129473  test_acc 0.934184499190793
51 : train_loss tensor(0.2831)  val_loss tensor(0.2611)  tmp_train_acc 0.9160900604063701  tmp_test_acc 0.925552958101061  test_acc 0.934184499190793
52 : train_loss tensor(0.3095)  val_loss tensor(0.2462)  tmp_train_acc 0.9087314662273476  tmp_test_acc 0.9347239705089013  test_acc 0.934184499190793
53 : train_loss tensor(0.3007)  val_loss tensor(0.2264)  tmp_train_acc 0.9090609555189456  tmp_test_acc 0.937061679554037  test_acc 0.934184499190793
54 : train_loss tensor(0.3007)  val_loss tensor(0.2824)  tmp_train_acc 0.9133443163097199  tmp_test_acc 0.9214170113288976  test_acc 0.934184499190793
55 : train_loss tensor(0.3001)  val_loss tensor(0.2855)  tmp_train_acc 0.9078528281164195  tmp_test_acc 0.9149433555115987  test_acc 0.934184499190793
56 : train_loss tensor(0.3237)  val_loss tensor(0.2537)  tmp_train_acc 0.8964305326743548  tmp_test_acc 0.9287897860097105  test_acc 0.934184499190793
57 : train_loss tensor(0.2919)  val_loss tensor(0.2876)  tmp_train_acc 0.914003294892916  tmp_test_acc 0.9154828268297069  test_acc 0.934184499190793
58 : train_loss tensor(0.3037)  val_loss tensor(0.2610)  tmp_train_acc 0.9118066996155958  tmp_test_acc 0.9302283761913325  test_acc 0.934184499190793
59 : train_loss tensor(0.2961)  val_loss tensor(0.2393)  tmp_train_acc 0.9149917627677101  tmp_test_acc 0.9367020320086316  test_acc 0.934184499190793
60 : train_loss tensor(0.3047)  val_loss tensor(0.2406)  tmp_train_acc 0.9082921471718836  tmp_test_acc 0.9376011508721454  test_acc 0.934184499190793
61 : train_loss tensor(0.2892)  val_loss tensor(0.2769)  tmp_train_acc 0.914113124656782  tmp_test_acc 0.9266319007372774  test_acc 0.934184499190793
62 : train_loss tensor(0.3276)  val_loss tensor(0.2543)  tmp_train_acc 0.9014827018121911  tmp_test_acc 0.9280704909188995  test_acc 0.934184499190793
63 : train_loss tensor(0.3148)  val_loss tensor(0.3241)  tmp_train_acc 0.9031301482701812  tmp_test_acc 0.9124258226937602  test_acc 0.934184499190793
64 : train_loss tensor(0.3206)  val_loss tensor(0.3633)  tmp_train_acc 0.9028006589785832  tmp_test_acc 0.8982197446502428  test_acc 0.934184499190793
65 : train_loss tensor(0.3076)  val_loss tensor(0.2644)  tmp_train_acc 0.9074135090609555  tmp_test_acc 0.9329257327818739  test_acc 0.934184499190793
66 : train_loss tensor(0.2769)  val_loss tensor(0.2724)  tmp_train_acc 0.9199341021416804  tmp_test_acc 0.923395072828628  test_acc 0.934184499190793
67 : train_loss tensor(0.2861)  val_loss tensor(0.2615)  tmp_train_acc 0.9172981878088962  tmp_test_acc 0.927710843373494  test_acc 0.934184499190793
68 : train_loss tensor(0.3225)  val_loss tensor(0.2249)  tmp_train_acc 0.9051070840197694  tmp_test_acc 0.929868728645927  test_acc 0.934184499190793
69 : train_loss tensor(0.2843)  val_loss tensor(0.2411)  tmp_train_acc 0.9129049972542559  tmp_test_acc 0.9293292573278189  test_acc 0.934184499190793
70 : train_loss tensor(0.2764)  val_loss tensor(0.2623)  tmp_train_acc 0.9168588687534321  tmp_test_acc 0.9188994785110591  test_acc 0.934184499190793
71 : train_loss tensor(0.2986)  val_loss tensor(0.2497)  tmp_train_acc 0.9098297638660077  tmp_test_acc 0.929868728645927  test_acc 0.934184499190793
72 : train_loss tensor(0.3005)  val_loss tensor(0.2222)  tmp_train_acc 0.9074135090609555  tmp_test_acc 0.9329257327818739  test_acc 0.934184499190793
73 : train_loss tensor(0.2774)  val_loss tensor(0.2674)  tmp_train_acc 0.9186161449752883  tmp_test_acc 0.9199784211472757  test_acc 0.934184499190793
74 : train_loss tensor(0.3060)  val_loss tensor(0.2968)  tmp_train_acc 0.9052169137836353  tmp_test_acc 0.9075705808307858  test_acc 0.934184499190793
75 : train_loss tensor(0.2797)  val_loss tensor(0.2793)  tmp_train_acc 0.9160900604063701  tmp_test_acc 0.9208775400107895  test_acc 0.934184499190793
76 : train_loss tensor(0.2705)  val_loss tensor(0.2586)  tmp_train_acc 0.9181768259198243  tmp_test_acc 0.9296889048732242  test_acc 0.934184499190793
77 : train_loss tensor(0.2938)  val_loss tensor(0.3231)  tmp_train_acc 0.9086216364634816  tmp_test_acc 0.9012767487861897  test_acc 0.934184499190793
78 : train_loss tensor(0.3389)  val_loss tensor(0.3349)  tmp_train_acc 0.8918176825919825  tmp_test_acc 0.8971408020140262  test_acc 0.934184499190793
79 : train_loss tensor(0.2914)  val_loss tensor(0.2086)  tmp_train_acc 0.914332784184514  tmp_test_acc 0.9399388599172811  test_acc 0.9399388599172811
80 : train_loss tensor(0.3061)  val_loss tensor(0.2908)  tmp_train_acc 0.9069741900054915  tmp_test_acc 0.9088293472397051  test_acc 0.9399388599172811
81 : train_loss tensor(0.2794)  val_loss tensor(0.2478)  tmp_train_acc 0.9111477210323998  tmp_test_acc 0.9197985973745729  test_acc 0.9399388599172811
82 : train_loss tensor(0.2547)  val_loss tensor(0.2422)  tmp_train_acc 0.9216913783635365  tmp_test_acc 0.9293292573278189  test_acc 0.9399388599172811
83 : train_loss tensor(0.2820)  val_loss tensor(0.2774)  tmp_train_acc 0.9155409115870401  tmp_test_acc 0.9210573637834921  test_acc 0.9399388599172811
84 : train_loss tensor(0.2980)  val_loss tensor(0.3456)  tmp_train_acc 0.9080724876441516  tmp_test_acc 0.8964215069232152  test_acc 0.9399388599172811
85 : train_loss tensor(0.2895)  val_loss tensor(0.2233)  tmp_train_acc 0.9152114222954421  tmp_test_acc 0.9397590361445783  test_acc 0.9399388599172811
86 : train_loss tensor(0.2884)  val_loss tensor(0.2651)  tmp_train_acc 0.91444261394838  tmp_test_acc 0.9293292573278189  test_acc 0.9399388599172811
87 : train_loss tensor(0.3020)  val_loss tensor(0.3458)  tmp_train_acc 0.9064250411861615  tmp_test_acc 0.8960618593778098  test_acc 0.9399388599172811
88 : train_loss tensor(0.3414)  val_loss tensor(0.3046)  tmp_train_acc 0.8891817682591983  tmp_test_acc 0.9041539291494336  test_acc 0.9399388599172811
89 : train_loss tensor(0.3077)  val_loss tensor(0.3340)  tmp_train_acc 0.9077429983525536  tmp_test_acc 0.9003776299226758  test_acc 0.9399388599172811
90 : train_loss tensor(0.2745)  val_loss tensor(0.2287)  tmp_train_acc 0.9198242723778144  tmp_test_acc 0.9350836180543067  test_acc 0.9399388599172811
91 : train_loss tensor(0.2667)  val_loss tensor(0.2227)  tmp_train_acc 0.9187259747391542  tmp_test_acc 0.9289696097824133  test_acc 0.9399388599172811
92 : train_loss tensor(0.2841)  val_loss tensor(0.3316)  tmp_train_acc 0.9191652937946184  tmp_test_acc 0.9162021219205179  test_acc 0.9399388599172811
93 : train_loss tensor(0.2676)  val_loss tensor(0.2441)  tmp_train_acc 0.9166392092257002  tmp_test_acc 0.9251933105556555  test_acc 0.9399388599172811
94 : train_loss tensor(0.2776)  val_loss tensor(0.2792)  tmp_train_acc 0.9113673805601318  tmp_test_acc 0.9165617694659234  test_acc 0.9399388599172811
95 : train_loss tensor(0.2872)  val_loss tensor(0.3055)  tmp_train_acc 0.9132344865458539  tmp_test_acc 0.9165617694659234  test_acc 0.9399388599172811
96 : train_loss tensor(0.3188)  val_loss tensor(0.3498)  tmp_train_acc 0.8990664470071389  tmp_test_acc 0.8949829167415932  test_acc 0.9399388599172811
97 : train_loss tensor(0.2793)  val_loss tensor(0.2282)  tmp_train_acc 0.9174080175727622  tmp_test_acc 0.9332853803272793  test_acc 0.9399388599172811
98 : train_loss tensor(0.2828)  val_loss tensor(0.2295)  tmp_train_acc 0.9166392092257002  tmp_test_acc 0.928430138464305  test_acc 0.9399388599172811
99 : train_loss tensor(0.2859)  val_loss tensor(0.2940)  tmp_train_acc 0.9167490389895662  tmp_test_acc 0.9201582449199784  test_acc 0.9399388599172811
100 : train_loss tensor(0.2825)  val_loss tensor(0.2693)  tmp_train_acc 0.9104887424492037  tmp_test_acc 0.9187196547383565  test_acc 0.9399388599172811
101 : train_loss tensor(0.2751)  val_loss tensor(0.2702)  tmp_train_acc 0.913124656781988  tmp_test_acc 0.9188994785110591  test_acc 0.9399388599172811
102 : train_loss tensor(0.3446)  val_loss tensor(0.4020)  tmp_train_acc 0.8940142778693025  tmp_test_acc 0.8843733141521309  test_acc 0.9399388599172811
103 : train_loss tensor(0.2762)  val_loss tensor(0.2648)  tmp_train_acc 0.9180669961559582  tmp_test_acc 0.9266319007372774  test_acc 0.9399388599172811
104 : train_loss tensor(0.2852)  val_loss tensor(0.3159)  tmp_train_acc 0.9176276771004942  tmp_test_acc 0.9127854702391655  test_acc 0.9399388599172811
105 : train_loss tensor(0.2671)  val_loss tensor(0.2134)  tmp_train_acc 0.9174080175727622  tmp_test_acc 0.9359827369178205  test_acc 0.9399388599172811
106 : train_loss tensor(0.2782)  val_loss tensor(0.2751)  tmp_train_acc 0.9187259747391542  tmp_test_acc 0.9235748966013307  test_acc 0.9399388599172811
107 : train_loss tensor(0.2992)  val_loss tensor(0.2926)  tmp_train_acc 0.9053267435475014  tmp_test_acc 0.9063118144218666  test_acc 0.9399388599172811
108 : train_loss tensor(0.2743)  val_loss tensor(0.2953)  tmp_train_acc 0.9181768259198243  tmp_test_acc 0.9144038841934905  test_acc 0.9399388599172811
109 : train_loss tensor(0.2827)  val_loss tensor(0.2610)  tmp_train_acc 0.9196046128500824  tmp_test_acc 0.9318467901456573  test_acc 0.9399388599172811
110 : train_loss tensor(0.3104)  val_loss tensor(0.2584)  tmp_train_acc 0.9071938495332235  tmp_test_acc 0.9181801834202482  test_acc 0.9399388599172811
111 : train_loss tensor(0.2786)  val_loss tensor(0.2656)  tmp_train_acc 0.9137836353651839  tmp_test_acc 0.9201582449199784  test_acc 0.9399388599172811
112 : train_loss tensor(0.3154)  val_loss tensor(0.3260)  tmp_train_acc 0.9067545304777593  tmp_test_acc 0.90523287178565  test_acc 0.9399388599172811
113 : train_loss tensor(0.3344)  val_loss tensor(0.3564)  tmp_train_acc 0.8939044481054366  tmp_test_acc 0.8985793921956483  test_acc 0.9399388599172811
114 : train_loss tensor(0.2883)  val_loss tensor(0.1961)  tmp_train_acc 0.9114772103239978  tmp_test_acc 0.9433555115986334  test_acc 0.9433555115986334
115 : train_loss tensor(0.2969)  val_loss tensor(0.3156)  tmp_train_acc 0.91444261394838  tmp_test_acc 0.9131451177845711  test_acc 0.9433555115986334
116 : train_loss tensor(0.2848)  val_loss tensor(0.2320)  tmp_train_acc 0.9127951674903899  tmp_test_acc 0.9278906671461967  test_acc 0.9433555115986334
117 : train_loss tensor(0.2912)  val_loss tensor(0.3163)  tmp_train_acc 0.9123558484349259  tmp_test_acc 0.9093688185578134  test_acc 0.9433555115986334
118 : train_loss tensor(0.3056)  val_loss tensor(0.3162)  tmp_train_acc 0.9033498077979132  tmp_test_acc 0.9061319906491638  test_acc 0.9433555115986334
119 : train_loss tensor(0.2823)  val_loss tensor(0.2293)  tmp_train_acc 0.9164195496979682  tmp_test_acc 0.9336450278726848  test_acc 0.9433555115986334
120 : train_loss tensor(0.3058)  val_loss tensor(0.2920)  tmp_train_acc 0.9086216364634816  tmp_test_acc 0.9199784211472757  test_acc 0.9433555115986334
121 : train_loss tensor(0.2824)  val_loss tensor(0.2880)  tmp_train_acc 0.914332784184514  tmp_test_acc 0.9154828268297069  test_acc 0.9433555115986334
122 : train_loss tensor(0.2893)  val_loss tensor(0.2850)  tmp_train_acc 0.9107084019769357  tmp_test_acc 0.9158424743751123  test_acc 0.9433555115986334
123 : train_loss tensor(0.2804)  val_loss tensor(0.2627)  tmp_train_acc 0.9121361889071938  tmp_test_acc 0.9235748966013307  test_acc 0.9433555115986334
124 : train_loss tensor(0.2969)  val_loss tensor(0.2972)  tmp_train_acc 0.9097199341021417  tmp_test_acc 0.9162021219205179  test_acc 0.9433555115986334
125 : train_loss tensor(0.3401)  val_loss tensor(0.3423)  tmp_train_acc 0.8917078528281164  tmp_test_acc 0.8953425642869988  test_acc 0.9433555115986334
126 : train_loss tensor(0.2692)  val_loss tensor(0.2010)  tmp_train_acc 0.9180669961559582  tmp_test_acc 0.940658155008092  test_acc 0.9433555115986334
127 : train_loss tensor(0.3044)  val_loss tensor(0.3423)  tmp_train_acc 0.9054365733113673  tmp_test_acc 0.8971408020140262  test_acc 0.9433555115986334
128 : train_loss tensor(0.3021)  val_loss tensor(0.2588)  tmp_train_acc 0.9066447007138935  tmp_test_acc 0.9232152490559252  test_acc 0.9433555115986334
