Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='Physics', device=0, dprate=0.5, dropout=0.8, early_stopping=200, epochs=500, heads=8, hidden=32, lr=0.1, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.6, val_rate=0.2, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(0.3365)  val_loss tensor(0.1467)  tmp_train_acc 0.9078602386430521  tmp_test_acc 0.955193711398091  test_acc 0.955193711398091
1 : train_loss tensor(0.1921)  val_loss tensor(0.1098)  tmp_train_acc 0.9346674514420247  tmp_test_acc 0.9621560920830994  test_acc 0.9621560920830994
2 : train_loss tensor(0.2427)  val_loss tensor(0.1192)  tmp_train_acc 0.9162073947241693  tmp_test_acc 0.9553060078607524  test_acc 0.9621560920830994
3 : train_loss tensor(0.1749)  val_loss tensor(0.1064)  tmp_train_acc 0.9395366258226764  tmp_test_acc 0.9621560920830994  test_acc 0.9621560920830994
4 : train_loss tensor(0.1791)  val_loss tensor(0.1005)  tmp_train_acc 0.9387340146610306  tmp_test_acc 0.963615946097698  test_acc 0.963615946097698
5 : train_loss tensor(0.2278)  val_loss tensor(0.0704)  tmp_train_acc 0.9208625394617155  tmp_test_acc 0.9730488489612578  test_acc 0.9730488489612578
6 : train_loss tensor(0.1783)  val_loss tensor(0.1295)  tmp_train_acc 0.9372893145700679  tmp_test_acc 0.9573273441886582  test_acc 0.9730488489612578
7 : train_loss tensor(0.1965)  val_loss tensor(0.0886)  tmp_train_acc 0.9316175290277704  tmp_test_acc 0.9677709152161706  test_acc 0.9730488489612578
8 : train_loss tensor(0.1878)  val_loss tensor(0.0977)  tmp_train_acc 0.9354700626036706  tmp_test_acc 0.9641774284110051  test_acc 0.9730488489612578
9 : train_loss tensor(0.1647)  val_loss tensor(0.1061)  tmp_train_acc 0.94274707046926  tmp_test_acc 0.9622683885457608  test_acc 0.9730488489612578
10 : train_loss tensor(0.1905)  val_loss tensor(0.1024)  tmp_train_acc 0.9344534217989191  tmp_test_acc 0.9622683885457608  test_acc 0.9730488489612578
