Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='Pubmed', device=0, dprate=0.5, dropout=0.0, early_stopping=200, epochs=500, heads=8, hidden=32, lr=0.01, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.6, val_rate=0.2, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(0.8354)  val_loss tensor(0.9153)  tmp_train_acc 0.6140840307718319  tmp_test_acc 0.45754119138149557  test_acc 0.45754119138149557
1 : train_loss tensor(0.5808)  val_loss tensor(0.7196)  tmp_train_acc 0.7737763124524474  tmp_test_acc 0.7193916349809886  test_acc 0.7193916349809886
2 : train_loss tensor(0.4109)  val_loss tensor(0.4435)  tmp_train_acc 0.8367571223264858  tmp_test_acc 0.8337135614702155  test_acc 0.8337135614702155
3 : train_loss tensor(0.3730)  val_loss tensor(0.3995)  tmp_train_acc 0.8539183362921633  tmp_test_acc 0.849936628643853  test_acc 0.849936628643853
4 : train_loss tensor(0.3630)  val_loss tensor(0.4307)  tmp_train_acc 0.8578070842843858  tmp_test_acc 0.8438529784537389  test_acc 0.849936628643853
5 : train_loss tensor(0.3648)  val_loss tensor(0.4605)  tmp_train_acc 0.8599205342801589  tmp_test_acc 0.8370088719898606  test_acc 0.849936628643853
6 : train_loss tensor(0.3349)  val_loss tensor(0.4208)  tmp_train_acc 0.8705723222588554  tmp_test_acc 0.8519645120405577  test_acc 0.849936628643853
7 : train_loss tensor(0.3329)  val_loss tensor(0.4149)  tmp_train_acc 0.8735311522529376  tmp_test_acc 0.85297845373891  test_acc 0.849936628643853
8 : train_loss tensor(0.3301)  val_loss tensor(0.3862)  tmp_train_acc 0.8726012342547976  tmp_test_acc 0.8638783269961977  test_acc 0.8638783269961977
9 : train_loss tensor(0.3199)  val_loss tensor(0.3612)  tmp_train_acc 0.8766590582466819  tmp_test_acc 0.8681875792141952  test_acc 0.8681875792141952
10 : train_loss tensor(0.3216)  val_loss tensor(0.3391)  tmp_train_acc 0.8774199002451601  tmp_test_acc 0.8740177439797212  test_acc 0.8740177439797212
