Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='Cora', device=0, dprate=0.9, dropout=0.6, early_stopping=70, epochs=500, heads=8, hidden=32, lr=0.01, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.6, val_rate=0.2, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(1.9389)  val_loss tensor(1.9082)  tmp_train_acc 0.14900449582530506  tmp_test_acc 0.15763546798029557  test_acc 0.15763546798029557
1 : train_loss tensor(1.9269)  val_loss tensor(1.8964)  tmp_train_acc 0.3179190751445087  tmp_test_acc 0.33004926108374383  test_acc 0.33004926108374383
2 : train_loss tensor(1.9119)  val_loss tensor(1.8794)  tmp_train_acc 0.45728965960179835  tmp_test_acc 0.6830870279146142  test_acc 0.6830870279146142
3 : train_loss tensor(1.8937)  val_loss tensor(1.8631)  tmp_train_acc 0.5105973025048169  tmp_test_acc 0.7339901477832512  test_acc 0.7339901477832512
4 : train_loss tensor(1.8730)  val_loss tensor(1.8475)  tmp_train_acc 0.5472061657032755  tmp_test_acc 0.7635467980295565  test_acc 0.7635467980295565
5 : train_loss tensor(1.8512)  val_loss tensor(1.8270)  tmp_train_acc 0.6140012845215157  tmp_test_acc 0.7931034482758621  test_acc 0.7931034482758621
6 : train_loss tensor(1.8259)  val_loss tensor(1.7999)  tmp_train_acc 0.6833654463712268  tmp_test_acc 0.8292282430213465  test_acc 0.8292282430213465
7 : train_loss tensor(1.7995)  val_loss tensor(1.7735)  tmp_train_acc 0.7334617854849069  tmp_test_acc 0.8423645320197044  test_acc 0.8423645320197044
8 : train_loss tensor(1.7685)  val_loss tensor(1.7385)  tmp_train_acc 0.7347463070006423  tmp_test_acc 0.8341543513957308  test_acc 0.8341543513957308
9 : train_loss tensor(1.7373)  val_loss tensor(1.7042)  tmp_train_acc 0.7591522157996146  tmp_test_acc 0.8472906403940886  test_acc 0.8472906403940886
10 : train_loss tensor(1.7028)  val_loss tensor(1.6706)  tmp_train_acc 0.7803468208092486  tmp_test_acc 0.8489326765188835  test_acc 0.8489326765188835
11 : train_loss tensor(1.6699)  val_loss tensor(1.6371)  tmp_train_acc 0.7938342967244701  tmp_test_acc 0.852216748768473  test_acc 0.852216748768473
12 : train_loss tensor(1.6371)  val_loss tensor(1.6057)  tmp_train_acc 0.804752729608221  tmp_test_acc 0.852216748768473  test_acc 0.852216748768473
13 : train_loss tensor(1.6040)  val_loss tensor(1.5800)  tmp_train_acc 0.8220937700706487  tmp_test_acc 0.8637110016420362  test_acc 0.8637110016420362
14 : train_loss tensor(1.5720)  val_loss tensor(1.5595)  tmp_train_acc 0.852922286448298  tmp_test_acc 0.8555008210180624  test_acc 0.8555008210180624
15 : train_loss tensor(1.5385)  val_loss tensor(1.5323)  tmp_train_acc 0.8606294155427103  tmp_test_acc 0.852216748768473  test_acc 0.852216748768473
16 : train_loss tensor(1.5083)  val_loss tensor(1.4952)  tmp_train_acc 0.8509955041746949  tmp_test_acc 0.8505747126436781  test_acc 0.8505747126436781
17 : train_loss tensor(1.4777)  val_loss tensor(1.4535)  tmp_train_acc 0.8381502890173411  tmp_test_acc 0.8587848932676518  test_acc 0.8587848932676518
18 : train_loss tensor(1.4448)  val_loss tensor(1.4165)  tmp_train_acc 0.8323699421965318  tmp_test_acc 0.8555008210180624  test_acc 0.8555008210180624
19 : train_loss tensor(1.4186)  val_loss tensor(1.4023)  tmp_train_acc 0.8497109826589595  tmp_test_acc 0.8604269293924466  test_acc 0.8604269293924466
20 : train_loss tensor(1.3932)  val_loss tensor(1.3797)  tmp_train_acc 0.8670520231213873  tmp_test_acc 0.8653530377668309  test_acc 0.8653530377668309
21 : train_loss tensor(1.3730)  val_loss tensor(1.3681)  tmp_train_acc 0.8760436737315351  tmp_test_acc 0.8719211822660099  test_acc 0.8719211822660099
22 : train_loss tensor(1.3530)  val_loss tensor(1.3648)  tmp_train_acc 0.8734746307000643  tmp_test_acc 0.8571428571428571  test_acc 0.8571428571428571
23 : train_loss tensor(1.3396)  val_loss tensor(1.3491)  tmp_train_acc 0.8760436737315351  tmp_test_acc 0.8571428571428571  test_acc 0.8571428571428571
24 : train_loss tensor(1.3246)  val_loss tensor(1.3338)  tmp_train_acc 0.8696210661528582  tmp_test_acc 0.8571428571428571  test_acc 0.8571428571428571
25 : train_loss tensor(1.3142)  val_loss tensor(1.3221)  tmp_train_acc 0.8754014129736674  tmp_test_acc 0.8653530377668309  test_acc 0.8653530377668309
26 : train_loss tensor(1.3050)  val_loss tensor(1.3108)  tmp_train_acc 0.884393063583815  tmp_test_acc 0.8752052545155994  test_acc 0.8752052545155994
27 : train_loss tensor(1.2982)  val_loss tensor(1.3117)  tmp_train_acc 0.8837508028259473  tmp_test_acc 0.8669950738916257  test_acc 0.8752052545155994
28 : train_loss tensor(1.2881)  val_loss tensor(1.3125)  tmp_train_acc 0.8856775850995504  tmp_test_acc 0.8686371100164204  test_acc 0.8752052545155994
29 : train_loss tensor(1.2760)  val_loss tensor(1.2995)  tmp_train_acc 0.8882466281310212  tmp_test_acc 0.8702791461412152  test_acc 0.8702791461412152
30 : train_loss tensor(1.2693)  val_loss tensor(1.2870)  tmp_train_acc 0.8856775850995504  tmp_test_acc 0.8686371100164204  test_acc 0.8686371100164204
31 : train_loss tensor(1.2654)  val_loss tensor(1.2735)  tmp_train_acc 0.8786127167630058  tmp_test_acc 0.8620689655172413  test_acc 0.8620689655172413
32 : train_loss tensor(1.2591)  val_loss tensor(1.2609)  tmp_train_acc 0.8837508028259473  tmp_test_acc 0.8735632183908046  test_acc 0.8735632183908046
33 : train_loss tensor(1.2503)  val_loss tensor(1.2605)  tmp_train_acc 0.8888888888888888  tmp_test_acc 0.8850574712643678  test_acc 0.8850574712643678
34 : train_loss tensor(1.2411)  val_loss tensor(1.2688)  tmp_train_acc 0.899165061014772  tmp_test_acc 0.8768472906403941  test_acc 0.8850574712643678
35 : train_loss tensor(1.2403)  val_loss tensor(1.2733)  tmp_train_acc 0.9062299293513166  tmp_test_acc 0.8702791461412152  test_acc 0.8850574712643678
36 : train_loss tensor(1.2387)  val_loss tensor(1.2706)  tmp_train_acc 0.8998073217726397  tmp_test_acc 0.8702791461412152  test_acc 0.8850574712643678
37 : train_loss tensor(1.2408)  val_loss tensor(1.2681)  tmp_train_acc 0.8953114964675657  tmp_test_acc 0.8735632183908046  test_acc 0.8850574712643678
38 : train_loss tensor(1.2377)  val_loss tensor(1.2506)  tmp_train_acc 0.8888888888888888  tmp_test_acc 0.8702791461412152  test_acc 0.8702791461412152
39 : train_loss tensor(1.2326)  val_loss tensor(1.2446)  tmp_train_acc 0.8908156711624919  tmp_test_acc 0.8801313628899836  test_acc 0.8801313628899836
40 : train_loss tensor(1.2339)  val_loss tensor(1.2434)  tmp_train_acc 0.9030186255619781  tmp_test_acc 0.8883415435139573  test_acc 0.8883415435139573
41 : train_loss tensor(1.2206)  val_loss tensor(1.2472)  tmp_train_acc 0.905587668593449  tmp_test_acc 0.8916256157635468  test_acc 0.8883415435139573
42 : train_loss tensor(1.2263)  val_loss tensor(1.2319)  tmp_train_acc 0.9017341040462428  tmp_test_acc 0.8817733990147785  test_acc 0.8817733990147785
43 : train_loss tensor(1.2283)  val_loss tensor(1.2399)  tmp_train_acc 0.8921001926782275  tmp_test_acc 0.8686371100164204  test_acc 0.8817733990147785
44 : train_loss tensor(1.2264)  val_loss tensor(1.2264)  tmp_train_acc 0.8863198458574181  tmp_test_acc 0.8669950738916257  test_acc 0.8669950738916257
45 : train_loss tensor(1.2210)  val_loss tensor(1.2215)  tmp_train_acc 0.8901734104046243  tmp_test_acc 0.8784893267651888  test_acc 0.8784893267651888
46 : train_loss tensor(1.2133)  val_loss tensor(1.2171)  tmp_train_acc 0.8978805394990366  tmp_test_acc 0.8817733990147785  test_acc 0.8817733990147785
47 : train_loss tensor(1.2081)  val_loss tensor(1.2210)  tmp_train_acc 0.9075144508670521  tmp_test_acc 0.8834154351395731  test_acc 0.8817733990147785
48 : train_loss tensor(1.2052)  val_loss tensor(1.2240)  tmp_train_acc 0.9126525369299936  tmp_test_acc 0.8817733990147785  test_acc 0.8817733990147785
49 : train_loss tensor(1.2070)  val_loss tensor(1.2305)  tmp_train_acc 0.9145793192035967  tmp_test_acc 0.8801313628899836  test_acc 0.8817733990147785
50 : train_loss tensor(1.2083)  val_loss tensor(1.2181)  tmp_train_acc 0.9107257546563905  tmp_test_acc 0.8883415435139573  test_acc 0.8817733990147785
51 : train_loss tensor(1.2169)  val_loss tensor(1.2106)  tmp_train_acc 0.8908156711624919  tmp_test_acc 0.8801313628899836  test_acc 0.8801313628899836
52 : train_loss tensor(1.2185)  val_loss tensor(1.2098)  tmp_train_acc 0.8798972382787413  tmp_test_acc 0.8850574712643678  test_acc 0.8850574712643678
53 : train_loss tensor(1.2334)  val_loss tensor(1.2236)  tmp_train_acc 0.8766859344894027  tmp_test_acc 0.8768472906403941  test_acc 0.8850574712643678
54 : train_loss tensor(1.2300)  val_loss tensor(1.2390)  tmp_train_acc 0.8940269749518305  tmp_test_acc 0.8719211822660099  test_acc 0.8850574712643678
55 : train_loss tensor(1.2261)  val_loss tensor(1.2566)  tmp_train_acc 0.9043031470777135  tmp_test_acc 0.8768472906403941  test_acc 0.8850574712643678
56 : train_loss tensor(1.2224)  val_loss tensor(1.2508)  tmp_train_acc 0.9081567116249197  tmp_test_acc 0.8817733990147785  test_acc 0.8850574712643678
57 : train_loss tensor(1.2169)  val_loss tensor(1.2307)  tmp_train_acc 0.9075144508670521  tmp_test_acc 0.8784893267651888  test_acc 0.8850574712643678
58 : train_loss tensor(1.2041)  val_loss tensor(1.2083)  tmp_train_acc 0.892742453436095  tmp_test_acc 0.8883415435139573  test_acc 0.8883415435139573
59 : train_loss tensor(1.2168)  val_loss tensor(1.2008)  tmp_train_acc 0.8805394990366089  tmp_test_acc 0.8752052545155994  test_acc 0.8752052545155994
60 : train_loss tensor(1.2138)  val_loss tensor(1.2044)  tmp_train_acc 0.8831085420680796  tmp_test_acc 0.8768472906403941  test_acc 0.8752052545155994
61 : train_loss tensor(1.2105)  val_loss tensor(1.2181)  tmp_train_acc 0.8901734104046243  tmp_test_acc 0.8604269293924466  test_acc 0.8752052545155994
62 : train_loss tensor(1.2093)  val_loss tensor(1.2147)  tmp_train_acc 0.892742453436095  tmp_test_acc 0.8768472906403941  test_acc 0.8752052545155994
63 : train_loss tensor(1.2064)  val_loss tensor(1.2233)  tmp_train_acc 0.9004495825305073  tmp_test_acc 0.8768472906403941  test_acc 0.8752052545155994
64 : train_loss tensor(1.2053)  val_loss tensor(1.2199)  tmp_train_acc 0.8998073217726397  tmp_test_acc 0.8817733990147785  test_acc 0.8752052545155994
65 : train_loss tensor(1.2081)  val_loss tensor(1.2155)  tmp_train_acc 0.8959537572254335  tmp_test_acc 0.8768472906403941  test_acc 0.8752052545155994
66 : train_loss tensor(1.2114)  val_loss tensor(1.2061)  tmp_train_acc 0.8856775850995504  tmp_test_acc 0.8801313628899836  test_acc 0.8752052545155994
67 : train_loss tensor(1.2136)  val_loss tensor(1.2097)  tmp_train_acc 0.8914579319203597  tmp_test_acc 0.8866995073891626  test_acc 0.8752052545155994
68 : train_loss tensor(1.2122)  val_loss tensor(1.2146)  tmp_train_acc 0.9010918432883751  tmp_test_acc 0.8850574712643678  test_acc 0.8752052545155994
69 : train_loss tensor(1.2148)  val_loss tensor(1.2275)  tmp_train_acc 0.8972382787411689  tmp_test_acc 0.8850574712643678  test_acc 0.8752052545155994
70 : train_loss tensor(1.2162)  val_loss tensor(1.2326)  tmp_train_acc 0.9004495825305073  tmp_test_acc 0.8768472906403941  test_acc 0.8752052545155994
71 : train_loss tensor(1.2166)  val_loss tensor(1.2383)  tmp_train_acc 0.9036608863198459  tmp_test_acc 0.8702791461412152  test_acc 0.8752052545155994
72 : train_loss tensor(1.2135)  val_loss tensor(1.2280)  tmp_train_acc 0.899165061014772  tmp_test_acc 0.8784893267651888  test_acc 0.8752052545155994
73 : train_loss tensor(1.2021)  val_loss tensor(1.2179)  tmp_train_acc 0.8837508028259473  tmp_test_acc 0.8669950738916257  test_acc 0.8752052545155994
74 : train_loss tensor(1.2136)  val_loss tensor(1.2033)  tmp_train_acc 0.8760436737315351  tmp_test_acc 0.8719211822660099  test_acc 0.8752052545155994
75 : train_loss tensor(1.2101)  val_loss tensor(1.2125)  tmp_train_acc 0.8876043673731535  tmp_test_acc 0.8702791461412152  test_acc 0.8752052545155994
76 : train_loss tensor(1.2111)  val_loss tensor(1.2230)  tmp_train_acc 0.8908156711624919  tmp_test_acc 0.8669950738916257  test_acc 0.8752052545155994
77 : train_loss tensor(1.2074)  val_loss tensor(1.2194)  tmp_train_acc 0.8895311496467566  tmp_test_acc 0.8735632183908046  test_acc 0.8752052545155994
78 : train_loss tensor(1.2110)  val_loss tensor(1.2119)  tmp_train_acc 0.884393063583815  tmp_test_acc 0.8768472906403941  test_acc 0.8752052545155994
79 : train_loss tensor(1.2080)  val_loss tensor(1.2079)  tmp_train_acc 0.882466281310212  tmp_test_acc 0.8784893267651888  test_acc 0.8752052545155994
80 : train_loss tensor(1.2029)  val_loss tensor(1.2084)  tmp_train_acc 0.886962106615286  tmp_test_acc 0.8834154351395731  test_acc 0.8752052545155994
81 : train_loss tensor(1.1969)  val_loss tensor(1.1968)  tmp_train_acc 0.8953114964675657  tmp_test_acc 0.8834154351395731  test_acc 0.8834154351395731
82 : train_loss tensor(1.1799)  val_loss tensor(1.1985)  tmp_train_acc 0.8946692357096981  tmp_test_acc 0.8768472906403941  test_acc 0.8834154351395731
83 : train_loss tensor(1.1785)  val_loss tensor(1.2065)  tmp_train_acc 0.8985228002569043  tmp_test_acc 0.8637110016420362  test_acc 0.8834154351395731
84 : train_loss tensor(1.1887)  val_loss tensor(1.2103)  tmp_train_acc 0.9043031470777135  tmp_test_acc 0.8702791461412152  test_acc 0.8834154351395731
85 : train_loss tensor(1.1943)  val_loss tensor(1.1961)  tmp_train_acc 0.8921001926782275  tmp_test_acc 0.8719211822660099  test_acc 0.8719211822660099
86 : train_loss tensor(1.2033)  val_loss tensor(1.1942)  tmp_train_acc 0.8644829800899166  tmp_test_acc 0.8669950738916257  test_acc 0.8669950738916257
87 : train_loss tensor(1.2134)  val_loss tensor(1.1917)  tmp_train_acc 0.8509955041746949  tmp_test_acc 0.8637110016420362  test_acc 0.8637110016420362
88 : train_loss tensor(1.2115)  val_loss tensor(1.2031)  tmp_train_acc 0.8696210661528582  tmp_test_acc 0.8686371100164204  test_acc 0.8637110016420362
89 : train_loss tensor(1.2019)  val_loss tensor(1.2159)  tmp_train_acc 0.8908156711624919  tmp_test_acc 0.8653530377668309  test_acc 0.8637110016420362
90 : train_loss tensor(1.1950)  val_loss tensor(1.2116)  tmp_train_acc 0.9004495825305073  tmp_test_acc 0.8686371100164204  test_acc 0.8637110016420362
91 : train_loss tensor(1.1929)  val_loss tensor(1.2015)  tmp_train_acc 0.8965960179833011  tmp_test_acc 0.8752052545155994  test_acc 0.8637110016420362
92 : train_loss tensor(1.1994)  val_loss tensor(1.1811)  tmp_train_acc 0.8773281952472703  tmp_test_acc 0.8752052545155994  test_acc 0.8752052545155994
93 : train_loss tensor(1.2028)  val_loss tensor(1.1817)  tmp_train_acc 0.8587026332691073  tmp_test_acc 0.8735632183908046  test_acc 0.8752052545155994
94 : train_loss tensor(1.2010)  val_loss tensor(1.2023)  tmp_train_acc 0.8651252408477842  tmp_test_acc 0.8555008210180624  test_acc 0.8752052545155994
95 : train_loss tensor(1.2047)  val_loss tensor(1.2150)  tmp_train_acc 0.8876043673731535  tmp_test_acc 0.8587848932676518  test_acc 0.8752052545155994
The sum of epochs: 96
run_1 	 test_acc: 0.8752
each run avg_time: 430.0358476638794 s
each epoch avg_time: 4433.3592542667975 ms
GAT on dataset Cora, in 1 repeated experiment:
test acc mean = 87.5205 ¡À 0.0000  	 val acc mean = 88.5609
