Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='Pubmed', device=0, dprate=0.5, dropout=0.0, early_stopping=200, epochs=500, heads=8, hidden=32, lr=0.01, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.6, val_rate=0.2, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(0.8710)  val_loss tensor(0.8901)  tmp_train_acc 0.8039563783920872  tmp_test_acc 0.7802281368821293  test_acc 0.7802281368821293
1 : train_loss tensor(0.6881)  val_loss tensor(0.7339)  tmp_train_acc 0.8439428523121143  tmp_test_acc 0.8217997465145753  test_acc 0.8217997465145753
2 : train_loss tensor(0.6554)  val_loss tensor(0.6763)  tmp_train_acc 0.8636402062727195  tmp_test_acc 0.8552598225602028  test_acc 0.8552598225602028
3 : train_loss tensor(0.6662)  val_loss tensor(0.6820)  tmp_train_acc 0.8667681122664638  tmp_test_acc 0.861850443599493  test_acc 0.8552598225602028
4 : train_loss tensor(0.6509)  val_loss tensor(0.6632)  tmp_train_acc 0.8775044382449911  tmp_test_acc 0.8661596958174906  test_acc 0.8661596958174906
5 : train_loss tensor(0.6366)  val_loss tensor(0.6560)  tmp_train_acc 0.8780116662439766  tmp_test_acc 0.8659062103929024  test_acc 0.8659062103929024
6 : train_loss tensor(0.6301)  val_loss tensor(0.6447)  tmp_train_acc 0.878772508242455  tmp_test_acc 0.8651457541191382  test_acc 0.8651457541191382
7 : train_loss tensor(0.6218)  val_loss tensor(0.6309)  tmp_train_acc 0.878772508242455  tmp_test_acc 0.8709759188846641  test_acc 0.8709759188846641
8 : train_loss tensor(0.6197)  val_loss tensor(0.6202)  tmp_train_acc 0.8734466142531067  tmp_test_acc 0.8730038022813689  test_acc 0.8730038022813689
9 : train_loss tensor(0.6137)  val_loss tensor(0.6118)  tmp_train_acc 0.8771662862456674  tmp_test_acc 0.8742712294043092  test_acc 0.8742712294043092
10 : train_loss tensor(0.6135)  val_loss tensor(0.6064)  tmp_train_acc 0.873108462253783  tmp_test_acc 0.8760456273764259  test_acc 0.8760456273764259
11 : train_loss tensor(0.5970)  val_loss tensor(0.6179)  tmp_train_acc 0.8894242962211514  tmp_test_acc 0.8745247148288974  test_acc 0.8760456273764259
