Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='Photo', device=0, dprate=0.5, dropout=0.0, early_stopping=200, epochs=500, heads=8, hidden=32, lr=0.01, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.9, val_rate=0.09, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(2.0163)  val_loss tensor(1.8937)  tmp_train_acc 0.30440917107583776  tmp_test_acc 0.44659442724458204  test_acc 0.44659442724458204
1 : train_loss tensor(1.9899)  val_loss tensor(1.8347)  tmp_train_acc 0.6021164021164022  tmp_test_acc 0.5541795665634675  test_acc 0.5541795665634675
2 : train_loss tensor(1.9422)  val_loss tensor(1.8512)  tmp_train_acc 0.5583774250440917  tmp_test_acc 0.41253869969040247  test_acc 0.5541795665634675
3 : train_loss tensor(1.8657)  val_loss tensor(1.7800)  tmp_train_acc 0.6241622574955908  tmp_test_acc 0.7159442724458205  test_acc 0.7159442724458205
4 : train_loss tensor(1.7370)  val_loss tensor(1.6953)  tmp_train_acc 0.7338624338624339  tmp_test_acc 0.6842105263157895  test_acc 0.6842105263157895
5 : train_loss tensor(1.5479)  val_loss tensor(1.5594)  tmp_train_acc 0.7502645502645503  tmp_test_acc 0.7763157894736842  test_acc 0.7763157894736842
6 : train_loss tensor(1.3162)  val_loss tensor(1.3796)  tmp_train_acc 0.7934744268077603  tmp_test_acc 0.804953560371517  test_acc 0.804953560371517
7 : train_loss tensor(1.0879)  val_loss tensor(1.2201)  tmp_train_acc 0.8222222222222222  tmp_test_acc 0.8057275541795665  test_acc 0.8057275541795665
8 : train_loss tensor(0.8970)  val_loss tensor(1.0370)  tmp_train_acc 0.8477954144620812  tmp_test_acc 0.8374613003095975  test_acc 0.8374613003095975
9 : train_loss tensor(0.7524)  val_loss tensor(0.8882)  tmp_train_acc 0.8569664902998236  tmp_test_acc 0.8390092879256965  test_acc 0.8390092879256965
10 : train_loss tensor(0.6440)  val_loss tensor(0.7407)  tmp_train_acc 0.8680776014109347  tmp_test_acc 0.8568111455108359  test_acc 0.8568111455108359
11 : train_loss tensor(0.5750)  val_loss tensor(0.6479)  tmp_train_acc 0.8878306878306879  tmp_test_acc 0.9063467492260062  test_acc 0.9063467492260062
12 : train_loss tensor(0.5260)  val_loss tensor(0.5862)  tmp_train_acc 0.9028218694885362  tmp_test_acc 0.9218266253869969  test_acc 0.9218266253869969
13 : train_loss tensor(0.4895)  val_loss tensor(0.5324)  tmp_train_acc 0.9088183421516755  tmp_test_acc 0.9272445820433437  test_acc 0.9272445820433437
14 : train_loss tensor(0.4545)  val_loss tensor(0.5361)  tmp_train_acc 0.917283950617284  tmp_test_acc 0.9102167182662538  test_acc 0.9272445820433437
15 : train_loss tensor(0.4242)  val_loss tensor(0.5050)  tmp_train_acc 0.9238095238095239  tmp_test_acc 0.9148606811145511  test_acc 0.9148606811145511
16 : train_loss tensor(0.3998)  val_loss tensor(0.4977)  tmp_train_acc 0.928395061728395  tmp_test_acc 0.9156346749226006  test_acc 0.9156346749226006
17 : train_loss tensor(0.3750)  val_loss tensor(0.4680)  tmp_train_acc 0.9315696649029982  tmp_test_acc 0.9164086687306502  test_acc 0.9164086687306502
18 : train_loss tensor(0.3556)  val_loss tensor(0.4385)  tmp_train_acc 0.9400352733686067  tmp_test_acc 0.9272445820433437  test_acc 0.9272445820433437
19 : train_loss tensor(0.3393)  val_loss tensor(0.4271)  tmp_train_acc 0.9389770723104056  tmp_test_acc 0.9202786377708978  test_acc 0.9202786377708978
20 : train_loss tensor(0.3253)  val_loss tensor(0.4223)  tmp_train_acc 0.9388007054673722  tmp_test_acc 0.9156346749226006  test_acc 0.9156346749226006
21 : train_loss tensor(0.3095)  val_loss tensor(0.4288)  tmp_train_acc 0.9423280423280423  tmp_test_acc 0.9117647058823528  test_acc 0.9156346749226006
22 : train_loss tensor(0.2987)  val_loss tensor(0.4142)  tmp_train_acc 0.9458553791887125  tmp_test_acc 0.9125386996904025  test_acc 0.9125386996904025
23 : train_loss tensor(0.2876)  val_loss tensor(0.3830)  tmp_train_acc 0.9488536155202821  tmp_test_acc 0.9226006191950464  test_acc 0.9226006191950464
24 : train_loss tensor(0.2857)  val_loss tensor(0.4008)  tmp_train_acc 0.946384479717813  tmp_test_acc 0.9040247678018576  test_acc 0.9226006191950464
25 : train_loss tensor(0.2744)  val_loss tensor(0.3783)  tmp_train_acc 0.9497354497354498  tmp_test_acc 0.9164086687306502  test_acc 0.9164086687306502
26 : train_loss tensor(0.2662)  val_loss tensor(0.3788)  tmp_train_acc 0.9483245149911816  tmp_test_acc 0.9256965944272446  test_acc 0.9164086687306502
27 : train_loss tensor(0.2703)  val_loss tensor(0.4110)  tmp_train_acc 0.944268077601411  tmp_test_acc 0.8993808049535603  test_acc 0.9164086687306502
28 : train_loss tensor(0.2534)  val_loss tensor(0.3575)  tmp_train_acc 0.9502645502645503  tmp_test_acc 0.9171826625386997  test_acc 0.9171826625386997
29 : train_loss tensor(0.2473)  val_loss tensor(0.3566)  tmp_train_acc 0.9507936507936507  tmp_test_acc 0.9202786377708978  test_acc 0.9202786377708978
