Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='CS', device=0, dprate=0.5, dropout=0.5, early_stopping=200, epochs=500, heads=8, hidden=32, lr=0.1, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.9, val_rate=0.09, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(0.4022)  val_loss tensor(0.3044)  tmp_train_acc 0.8781134982453136  tmp_test_acc 0.9204  test_acc 0.9204
1 : train_loss tensor(0.2693)  val_loss tensor(0.1781)  tmp_train_acc 0.9197124026363092  tmp_test_acc 0.9504  test_acc 0.9504
2 : train_loss tensor(0.2552)  val_loss tensor(0.2088)  tmp_train_acc 0.9187708636480357  tmp_test_acc 0.9372  test_acc 0.9504
3 : train_loss tensor(0.2717)  val_loss tensor(0.2057)  tmp_train_acc 0.9181717024736797  tmp_test_acc 0.9338  test_acc 0.9504
4 : train_loss tensor(0.2397)  val_loss tensor(0.2353)  tmp_train_acc 0.9269879311820594  tmp_test_acc 0.9256  test_acc 0.9504
5 : train_loss tensor(0.2335)  val_loss tensor(0.2407)  tmp_train_acc 0.9255328254729094  tmp_test_acc 0.924  test_acc 0.9504
6 : train_loss tensor(0.2170)  val_loss tensor(0.2321)  tmp_train_acc 0.9323803817512625  tmp_test_acc 0.9378  test_acc 0.9504
7 : train_loss tensor(0.2177)  val_loss tensor(0.2309)  tmp_train_acc 0.9331507318325772  tmp_test_acc 0.9342  test_acc 0.9504
8 : train_loss tensor(0.2285)  val_loss tensor(0.1876)  tmp_train_acc 0.9257040143798682  tmp_test_acc 0.9392  test_acc 0.9504
9 : train_loss tensor(0.2536)  val_loss tensor(0.3906)  tmp_train_acc 0.9190276470084737  tmp_test_acc 0.8785999999999999  test_acc 0.9504
10 : train_loss tensor(0.2059)  val_loss tensor(0.1650)  tmp_train_acc 0.9309252760421125  tmp_test_acc 0.9500000000000001  test_acc 0.9500000000000001
11 : train_loss tensor(0.2171)  val_loss tensor(0.1781)  tmp_train_acc 0.9269879311820594  tmp_test_acc 0.9464  test_acc 0.9500000000000001
12 : train_loss tensor(0.2379)  val_loss tensor(0.2592)  tmp_train_acc 0.924420097577677  tmp_test_acc 0.9261999999999999  test_acc 0.9500000000000001
13 : train_loss tensor(0.2173)  val_loss tensor(0.2247)  tmp_train_acc 0.9269879311820594  tmp_test_acc 0.9268  test_acc 0.9500000000000001
14 : train_loss tensor(0.2146)  val_loss tensor(0.2313)  tmp_train_acc 0.9306684926816742  tmp_test_acc 0.924  test_acc 0.9500000000000001
15 : train_loss tensor(0.2231)  val_loss tensor(0.1936)  tmp_train_acc 0.9260463921937858  tmp_test_acc 0.937  test_acc 0.9500000000000001
16 : train_loss tensor(0.2177)  val_loss tensor(0.1732)  tmp_train_acc 0.92835744243773  tmp_test_acc 0.9426  test_acc 0.9500000000000001
17 : train_loss tensor(0.1752)  val_loss tensor(0.1592)  tmp_train_acc 0.9445347941453394  tmp_test_acc 0.9552  test_acc 0.9552
18 : train_loss tensor(0.2321)  val_loss tensor(0.1513)  tmp_train_acc 0.9243345031241975  tmp_test_acc 0.9478  test_acc 0.9478
19 : train_loss tensor(0.2018)  val_loss tensor(0.1442)  tmp_train_acc 0.9335787040999743  tmp_test_acc 0.9552  test_acc 0.9552
20 : train_loss tensor(0.1999)  val_loss tensor(0.1830)  tmp_train_acc 0.9335787040999743  tmp_test_acc 0.9458  test_acc 0.9552
21 : train_loss tensor(0.2212)  val_loss tensor(0.1580)  tmp_train_acc 0.9264743644611829  tmp_test_acc 0.9526  test_acc 0.9552
22 : train_loss tensor(0.2057)  val_loss tensor(0.2110)  tmp_train_acc 0.9326371651117008  tmp_test_acc 0.9332  test_acc 0.9552
23 : train_loss tensor(0.2161)  val_loss tensor(0.2160)  tmp_train_acc 0.9312676538560302  tmp_test_acc 0.9334  test_acc 0.9552
24 : train_loss tensor(0.2001)  val_loss tensor(0.2024)  tmp_train_acc 0.9369168877856715  tmp_test_acc 0.939  test_acc 0.9552
25 : train_loss tensor(0.1928)  val_loss tensor(0.1936)  tmp_train_acc 0.936403321064795  tmp_test_acc 0.9402  test_acc 0.9552
26 : train_loss tensor(0.2222)  val_loss tensor(0.2016)  tmp_train_acc 0.9274159034494565  tmp_test_acc 0.9352  test_acc 0.9552
27 : train_loss tensor(0.2359)  val_loss tensor(0.2358)  tmp_train_acc 0.920910724985021  tmp_test_acc 0.9228  test_acc 0.9552
28 : train_loss tensor(0.2446)  val_loss tensor(0.1700)  tmp_train_acc 0.913292818625353  tmp_test_acc 0.9502  test_acc 0.9552
29 : train_loss tensor(0.2806)  val_loss tensor(0.2788)  tmp_train_acc 0.9079003680561499  tmp_test_acc 0.9146  test_acc 0.9552
30 : train_loss tensor(0.2806)  val_loss tensor(0.3284)  tmp_train_acc 0.9055893178122058  tmp_test_acc 0.897  test_acc 0.9552
31 : train_loss tensor(0.2201)  val_loss tensor(0.2620)  tmp_train_acc 0.9309252760421125  tmp_test_acc 0.9298  test_acc 0.9552
32 : train_loss tensor(0.2019)  val_loss tensor(0.1705)  tmp_train_acc 0.9351194042626038  tmp_test_acc 0.9494  test_acc 0.9552
33 : train_loss tensor(0.2030)  val_loss tensor(0.2196)  tmp_train_acc 0.9347770264486861  tmp_test_acc 0.9284  test_acc 0.9552
34 : train_loss tensor(0.2158)  val_loss tensor(0.1348)  tmp_train_acc 0.927330308995977  tmp_test_acc 0.9574  test_acc 0.9574
35 : train_loss tensor(0.1885)  val_loss tensor(0.1836)  tmp_train_acc 0.9400838825644098  tmp_test_acc 0.9432  test_acc 0.9574
36 : train_loss tensor(0.2696)  val_loss tensor(0.1740)  tmp_train_acc 0.9140631687066678  tmp_test_acc 0.9468  test_acc 0.9574
37 : train_loss tensor(0.2476)  val_loss tensor(0.2052)  tmp_train_acc 0.9146623298810238  tmp_test_acc 0.9294  test_acc 0.9574
38 : train_loss tensor(0.2614)  val_loss tensor(0.3502)  tmp_train_acc 0.9181717024736797  tmp_test_acc 0.8942  test_acc 0.9574
39 : train_loss tensor(0.2406)  val_loss tensor(0.1425)  tmp_train_acc 0.9199691859967474  tmp_test_acc 0.9574  test_acc 0.9574
40 : train_loss tensor(0.2102)  val_loss tensor(0.1772)  tmp_train_acc 0.928956603612086  tmp_test_acc 0.94  test_acc 0.9574
41 : train_loss tensor(0.2208)  val_loss tensor(0.1917)  tmp_train_acc 0.9267311478216212  tmp_test_acc 0.9414  test_acc 0.9574
42 : train_loss tensor(0.1945)  val_loss tensor(0.2166)  tmp_train_acc 0.9357185654369596  tmp_test_acc 0.9362  test_acc 0.9574
43 : train_loss tensor(0.2415)  val_loss tensor(0.2725)  tmp_train_acc 0.9185996747410767  tmp_test_acc 0.915  test_acc 0.9574
44 : train_loss tensor(0.2047)  val_loss tensor(0.1644)  tmp_train_acc 0.933921081913892  tmp_test_acc 0.9492  test_acc 0.9574
45 : train_loss tensor(0.2230)  val_loss tensor(0.2398)  tmp_train_acc 0.9280150646238123  tmp_test_acc 0.93  test_acc 0.9574
46 : train_loss tensor(0.1772)  val_loss tensor(0.1666)  tmp_train_acc 0.9420525549944364  tmp_test_acc 0.9556  test_acc 0.9574
47 : train_loss tensor(0.1985)  val_loss tensor(0.1487)  tmp_train_acc 0.9352049987160832  tmp_test_acc 0.9566  test_acc 0.9574
48 : train_loss tensor(0.2614)  val_loss tensor(0.3372)  tmp_train_acc 0.9148335187879826  tmp_test_acc 0.8922  test_acc 0.9574
49 : train_loss tensor(0.1827)  val_loss tensor(0.1612)  tmp_train_acc 0.940939827099204  tmp_test_acc 0.953  test_acc 0.9574
50 : train_loss tensor(0.1992)  val_loss tensor(0.1598)  tmp_train_acc 0.9350338098091243  tmp_test_acc 0.9484  test_acc 0.9574
51 : train_loss tensor(0.2171)  val_loss tensor(0.1997)  tmp_train_acc 0.9282718479842507  tmp_test_acc 0.935  test_acc 0.9574
52 : train_loss tensor(0.2183)  val_loss tensor(0.1465)  tmp_train_acc 0.926303175554224  tmp_test_acc 0.9592  test_acc 0.9574
53 : train_loss tensor(0.2444)  val_loss tensor(0.3277)  tmp_train_acc 0.9195412137293503  tmp_test_acc 0.9026  test_acc 0.9574
54 : train_loss tensor(0.2486)  val_loss tensor(0.4106)  tmp_train_acc 0.9187708636480357  tmp_test_acc 0.8766  test_acc 0.9574
55 : train_loss tensor(0.2507)  val_loss tensor(0.2639)  tmp_train_acc 0.918428485834118  tmp_test_acc 0.923  test_acc 0.9574
56 : train_loss tensor(0.3007)  val_loss tensor(0.2007)  tmp_train_acc 0.8987417615338527  tmp_test_acc 0.9324  test_acc 0.9574
57 : train_loss tensor(0.2423)  val_loss tensor(0.3021)  tmp_train_acc 0.9200547804502268  tmp_test_acc 0.9208  test_acc 0.9574
58 : train_loss tensor(0.2215)  val_loss tensor(0.2027)  tmp_train_acc 0.9275870923564152  tmp_test_acc 0.9334  test_acc 0.9574
59 : train_loss tensor(0.1947)  val_loss tensor(0.2053)  tmp_train_acc 0.9382008045878627  tmp_test_acc 0.9378  test_acc 0.9574
60 : train_loss tensor(0.1857)  val_loss tensor(0.1617)  tmp_train_acc 0.9414533938200804  tmp_test_acc 0.9538  test_acc 0.9574
61 : train_loss tensor(0.2128)  val_loss tensor(0.1936)  tmp_train_acc 0.9327227595651801  tmp_test_acc 0.943  test_acc 0.9574
62 : train_loss tensor(0.2050)  val_loss tensor(0.1757)  tmp_train_acc 0.9350338098091243  tmp_test_acc 0.9517999999999999  test_acc 0.9574
63 : train_loss tensor(0.1979)  val_loss tensor(0.1615)  tmp_train_acc 0.9341778652743302  tmp_test_acc 0.948  test_acc 0.9574
64 : train_loss tensor(0.2064)  val_loss tensor(0.1758)  tmp_train_acc 0.9295557647864419  tmp_test_acc 0.948  test_acc 0.9574
65 : train_loss tensor(0.1968)  val_loss tensor(0.1802)  tmp_train_acc 0.9340922708208508  tmp_test_acc 0.9476  test_acc 0.9574
66 : train_loss tensor(0.1856)  val_loss tensor(0.1727)  tmp_train_acc 0.9426517161687923  tmp_test_acc 0.9542  test_acc 0.9574
67 : train_loss tensor(0.2166)  val_loss tensor(0.2129)  tmp_train_acc 0.9254472310194299  tmp_test_acc 0.9334  test_acc 0.9574
68 : train_loss tensor(0.2066)  val_loss tensor(0.2458)  tmp_train_acc 0.9324659762047419  tmp_test_acc 0.929  test_acc 0.9574
69 : train_loss tensor(0.2298)  val_loss tensor(0.2571)  tmp_train_acc 0.9242489086707182  tmp_test_acc 0.9228  test_acc 0.9574
70 : train_loss tensor(0.2244)  val_loss tensor(0.2486)  tmp_train_acc 0.9292133869725242  tmp_test_acc 0.9264  test_acc 0.9574
71 : train_loss tensor(0.1941)  val_loss tensor(0.1678)  tmp_train_acc 0.9362321321578362  tmp_test_acc 0.9502  test_acc 0.9574
72 : train_loss tensor(0.2585)  val_loss tensor(0.2571)  tmp_train_acc 0.9121800907301207  tmp_test_acc 0.9146  test_acc 0.9574
73 : train_loss tensor(0.1920)  val_loss tensor(0.1488)  tmp_train_acc 0.936403321064795  tmp_test_acc 0.9536  test_acc 0.9574
74 : train_loss tensor(0.2459)  val_loss tensor(0.2161)  tmp_train_acc 0.9185140802875974  tmp_test_acc 0.9242  test_acc 0.9574
75 : train_loss tensor(0.2371)  val_loss tensor(0.1913)  tmp_train_acc 0.9196268081828297  tmp_test_acc 0.9416  test_acc 0.9574
76 : train_loss tensor(0.2125)  val_loss tensor(0.2213)  tmp_train_acc 0.9292133869725242  tmp_test_acc 0.9266  test_acc 0.9574
77 : train_loss tensor(0.3728)  val_loss tensor(0.1497)  tmp_train_acc 0.8874432936745699  tmp_test_acc 0.9500000000000001  test_acc 0.9574
78 : train_loss tensor(0.2576)  val_loss tensor(0.2922)  tmp_train_acc 0.9195412137293503  tmp_test_acc 0.9188000000000001  test_acc 0.9574
