Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='Cora', device=0, dprate=0.9, dropout=0.6, early_stopping=70, epochs=500, heads=8, hidden=32, lr=0.01, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.9, val_rate=0.09, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(1.9131)  val_loss tensor(1.8524)  tmp_train_acc 0.16866315285098227  tmp_test_acc 0.09814323607427054  test_acc 0.09814323607427054
1 : train_loss tensor(1.8871)  val_loss tensor(1.7656)  tmp_train_acc 0.3229516051748922  tmp_test_acc 0.23607427055702918  test_acc 0.23607427055702918
2 : train_loss tensor(1.8667)  val_loss tensor(1.6732)  tmp_train_acc 0.31528509822712025  tmp_test_acc 0.23342175066312998  test_acc 0.23342175066312998
3 : train_loss tensor(1.8481)  val_loss tensor(1.5993)  tmp_train_acc 0.24293243890752275  tmp_test_acc 0.19098143236074272  test_acc 0.19098143236074272
4 : train_loss tensor(1.8206)  val_loss tensor(1.5398)  tmp_train_acc 0.26305701964542405  tmp_test_acc 0.20159151193633953  test_acc 0.20159151193633953
5 : train_loss tensor(1.7815)  val_loss tensor(1.4852)  tmp_train_acc 0.3210349784379492  tmp_test_acc 0.26525198938992045  test_acc 0.26525198938992045
6 : train_loss tensor(1.7286)  val_loss tensor(1.4412)  tmp_train_acc 0.38092956396741734  tmp_test_acc 0.41909814323607425  test_acc 0.41909814323607425
7 : train_loss tensor(1.6671)  val_loss tensor(1.3898)  tmp_train_acc 0.4274077623382846  tmp_test_acc 0.6259946949602122  test_acc 0.6259946949602122
8 : train_loss tensor(1.5975)  val_loss tensor(1.3320)  tmp_train_acc 0.4537613799712506  tmp_test_acc 0.7374005305039789  test_acc 0.7374005305039789
9 : train_loss tensor(1.5248)  val_loss tensor(1.2612)  tmp_train_acc 0.4839482510781025  tmp_test_acc 0.7745358090185678  test_acc 0.7745358090185678
10 : train_loss tensor(1.4511)  val_loss tensor(1.2091)  tmp_train_acc 0.5294681360804984  tmp_test_acc 0.7639257294429709  test_acc 0.7639257294429709
11 : train_loss tensor(1.3696)  val_loss tensor(1.1360)  tmp_train_acc 0.5898418782942022  tmp_test_acc 0.7798408488063662  test_acc 0.7798408488063662
12 : train_loss tensor(1.2937)  val_loss tensor(1.0364)  tmp_train_acc 0.6406324868231912  tmp_test_acc 0.8620689655172413  test_acc 0.8620689655172413
13 : train_loss tensor(1.2152)  val_loss tensor(0.9611)  tmp_train_acc 0.6928605654048874  tmp_test_acc 0.9018567639257294  test_acc 0.9018567639257294
14 : train_loss tensor(1.1439)  val_loss tensor(0.9046)  tmp_train_acc 0.7489218974604697  tmp_test_acc 0.9045092838196287  test_acc 0.9045092838196287
15 : train_loss tensor(1.0769)  val_loss tensor(0.8650)  tmp_train_acc 0.776233828461907  tmp_test_acc 0.8885941644562335  test_acc 0.8885941644562335
16 : train_loss tensor(1.0093)  val_loss tensor(0.8161)  tmp_train_acc 0.8059415428845232  tmp_test_acc 0.870026525198939  test_acc 0.870026525198939
17 : train_loss tensor(0.9565)  val_loss tensor(0.7899)  tmp_train_acc 0.8351701006229035  tmp_test_acc 0.8779840848806366  test_acc 0.8779840848806366
18 : train_loss tensor(0.9062)  val_loss tensor(0.7277)  tmp_train_acc 0.8481073310972688  tmp_test_acc 0.8806366047745358  test_acc 0.8806366047745358
19 : train_loss tensor(0.8627)  val_loss tensor(0.7013)  tmp_train_acc 0.8658361284139914  tmp_test_acc 0.8806366047745358  test_acc 0.8806366047745358
20 : train_loss tensor(0.8253)  val_loss tensor(0.7114)  tmp_train_acc 0.8682319118351701  tmp_test_acc 0.870026525198939  test_acc 0.8806366047745358
21 : train_loss tensor(0.8020)  val_loss tensor(0.7355)  tmp_train_acc 0.8739817920459989  tmp_test_acc 0.8514588859416445  test_acc 0.8806366047745358
22 : train_loss tensor(0.7809)  val_loss tensor(0.7443)  tmp_train_acc 0.8677527551509343  tmp_test_acc 0.843501326259947  test_acc 0.8806366047745358
23 : train_loss tensor(0.7525)  val_loss tensor(0.6710)  tmp_train_acc 0.8749401054144705  tmp_test_acc 0.8620689655172413  test_acc 0.8620689655172413
24 : train_loss tensor(0.7292)  val_loss tensor(0.5961)  tmp_train_acc 0.8739817920459989  tmp_test_acc 0.8753315649867374  test_acc 0.8753315649867374
25 : train_loss tensor(0.7079)  val_loss tensor(0.5730)  tmp_train_acc 0.8830857690464782  tmp_test_acc 0.8859416445623343  test_acc 0.8859416445623343
26 : train_loss tensor(0.6813)  val_loss tensor(0.5865)  tmp_train_acc 0.8917105893627216  tmp_test_acc 0.8859416445623343  test_acc 0.8859416445623343
27 : train_loss tensor(0.6608)  val_loss tensor(0.6213)  tmp_train_acc 0.8888356492573072  tmp_test_acc 0.8594164456233422  test_acc 0.8859416445623343
28 : train_loss tensor(0.6450)  val_loss tensor(0.5920)  tmp_train_acc 0.8897939626257787  tmp_test_acc 0.8673740053050399  test_acc 0.8859416445623343
29 : train_loss tensor(0.6301)  val_loss tensor(0.5564)  tmp_train_acc 0.8926689027311931  tmp_test_acc 0.8753315649867374  test_acc 0.8753315649867374
30 : train_loss tensor(0.6164)  val_loss tensor(0.5217)  tmp_train_acc 0.8974604695735505  tmp_test_acc 0.8832891246684349  test_acc 0.8832891246684349
31 : train_loss tensor(0.6103)  val_loss tensor(0.5447)  tmp_train_acc 0.8979396262577863  tmp_test_acc 0.8806366047745358  test_acc 0.8832891246684349
32 : train_loss tensor(0.6049)  val_loss tensor(0.5572)  tmp_train_acc 0.8955438428366076  tmp_test_acc 0.8673740053050399  test_acc 0.8832891246684349
33 : train_loss tensor(0.5999)  val_loss tensor(0.5465)  tmp_train_acc 0.8993770963104936  tmp_test_acc 0.8753315649867374  test_acc 0.8832891246684349
34 : train_loss tensor(0.5882)  val_loss tensor(0.5849)  tmp_train_acc 0.8960229995208433  tmp_test_acc 0.8726790450928382  test_acc 0.8832891246684349
35 : train_loss tensor(0.5799)  val_loss tensor(0.5606)  tmp_train_acc 0.8998562529947292  tmp_test_acc 0.8673740053050399  test_acc 0.8832891246684349
36 : train_loss tensor(0.5703)  val_loss tensor(0.5335)  tmp_train_acc 0.8988979396262577  tmp_test_acc 0.8647214854111406  test_acc 0.8832891246684349
37 : train_loss tensor(0.5642)  val_loss tensor(0.5325)  tmp_train_acc 0.898418782942022  tmp_test_acc 0.8726790450928382  test_acc 0.8832891246684349
38 : train_loss tensor(0.5569)  val_loss tensor(0.4982)  tmp_train_acc 0.8998562529947292  tmp_test_acc 0.9018567639257294  test_acc 0.9018567639257294
39 : train_loss tensor(0.5479)  val_loss tensor(0.4767)  tmp_train_acc 0.8988979396262577  tmp_test_acc 0.8938992042440317  test_acc 0.8938992042440317
40 : train_loss tensor(0.5337)  val_loss tensor(0.4868)  tmp_train_acc 0.9017728797316723  tmp_test_acc 0.8938992042440317  test_acc 0.8938992042440317
41 : train_loss tensor(0.5342)  val_loss tensor(0.5124)  tmp_train_acc 0.9046478198370868  tmp_test_acc 0.8885941644562335  test_acc 0.8938992042440317
42 : train_loss tensor(0.5433)  val_loss tensor(0.4919)  tmp_train_acc 0.9046478198370868  tmp_test_acc 0.9071618037135278  test_acc 0.8938992042440317
43 : train_loss tensor(0.5487)  val_loss tensor(0.4350)  tmp_train_acc 0.8988979396262577  tmp_test_acc 0.9098143236074271  test_acc 0.9098143236074271
44 : train_loss tensor(0.5442)  val_loss tensor(0.4447)  tmp_train_acc 0.9017728797316723  tmp_test_acc 0.9177718832891246  test_acc 0.9098143236074271
45 : train_loss tensor(0.5448)  val_loss tensor(0.5245)  tmp_train_acc 0.9036895064686153  tmp_test_acc 0.870026525198939  test_acc 0.9098143236074271
46 : train_loss tensor(0.5336)  val_loss tensor(0.5430)  tmp_train_acc 0.9089602299952084  tmp_test_acc 0.870026525198939  test_acc 0.9098143236074271
47 : train_loss tensor(0.5468)  val_loss tensor(0.4499)  tmp_train_acc 0.9032103497843795  tmp_test_acc 0.9071618037135278  test_acc 0.9098143236074271
48 : train_loss tensor(0.5486)  val_loss tensor(0.4129)  tmp_train_acc 0.8965021562050791  tmp_test_acc 0.9177718832891246  test_acc 0.9177718832891246
49 : train_loss tensor(0.5313)  val_loss tensor(0.4706)  tmp_train_acc 0.9051269765213225  tmp_test_acc 0.8885941644562335  test_acc 0.9177718832891246
50 : train_loss tensor(0.5365)  val_loss tensor(0.5189)  tmp_train_acc 0.9046478198370868  tmp_test_acc 0.8859416445623343  test_acc 0.9177718832891246
51 : train_loss tensor(0.5247)  val_loss tensor(0.4799)  tmp_train_acc 0.9094393866794441  tmp_test_acc 0.8938992042440317  test_acc 0.9177718832891246
52 : train_loss tensor(0.5332)  val_loss tensor(0.4511)  tmp_train_acc 0.9036895064686153  tmp_test_acc 0.8992042440318302  test_acc 0.9177718832891246
53 : train_loss tensor(0.5374)  val_loss tensor(0.4638)  tmp_train_acc 0.902252036415908  tmp_test_acc 0.8912466843501327  test_acc 0.9177718832891246
54 : train_loss tensor(0.5143)  val_loss tensor(0.4690)  tmp_train_acc 0.9103977000479156  tmp_test_acc 0.896551724137931  test_acc 0.9177718832891246
55 : train_loss tensor(0.5161)  val_loss tensor(0.4889)  tmp_train_acc 0.9046478198370868  tmp_test_acc 0.8938992042440317  test_acc 0.9177718832891246
56 : train_loss tensor(0.5154)  val_loss tensor(0.4771)  tmp_train_acc 0.9070436032582655  tmp_test_acc 0.8885941644562335  test_acc 0.9177718832891246
57 : train_loss tensor(0.5119)  val_loss tensor(0.4751)  tmp_train_acc 0.9084810733109727  tmp_test_acc 0.896551724137931  test_acc 0.9177718832891246
58 : train_loss tensor(0.5151)  val_loss tensor(0.4392)  tmp_train_acc 0.9027311931001437  tmp_test_acc 0.8938992042440317  test_acc 0.9177718832891246
59 : train_loss tensor(0.5110)  val_loss tensor(0.3805)  tmp_train_acc 0.8998562529947292  tmp_test_acc 0.9151193633952255  test_acc 0.9151193633952255
60 : train_loss tensor(0.5035)  val_loss tensor(0.3778)  tmp_train_acc 0.9012937230474365  tmp_test_acc 0.9151193633952255  test_acc 0.9151193633952255
61 : train_loss tensor(0.4976)  val_loss tensor(0.4147)  tmp_train_acc 0.9065644465740297  tmp_test_acc 0.9098143236074271  test_acc 0.9151193633952255
62 : train_loss tensor(0.4885)  val_loss tensor(0.4954)  tmp_train_acc 0.9065644465740297  tmp_test_acc 0.8885941644562335  test_acc 0.9151193633952255
63 : train_loss tensor(0.4857)  val_loss tensor(0.5046)  tmp_train_acc 0.906085289889794  tmp_test_acc 0.8885941644562335  test_acc 0.9151193633952255
64 : train_loss tensor(0.4951)  val_loss tensor(0.4122)  tmp_train_acc 0.9041686631528509  tmp_test_acc 0.9098143236074271  test_acc 0.9151193633952255
65 : train_loss tensor(0.5057)  val_loss tensor(0.3797)  tmp_train_acc 0.9008145663632008  tmp_test_acc 0.9257294429708223  test_acc 0.9151193633952255
66 : train_loss tensor(0.5092)  val_loss tensor(0.4025)  tmp_train_acc 0.9036895064686153  tmp_test_acc 0.9098143236074271  test_acc 0.9151193633952255
67 : train_loss tensor(0.5142)  val_loss tensor(0.4371)  tmp_train_acc 0.902252036415908  tmp_test_acc 0.9018567639257294  test_acc 0.9151193633952255
68 : train_loss tensor(0.5164)  val_loss tensor(0.4488)  tmp_train_acc 0.9041686631528509  tmp_test_acc 0.8938992042440317  test_acc 0.9151193633952255
69 : train_loss tensor(0.5103)  val_loss tensor(0.4732)  tmp_train_acc 0.9142309535218016  tmp_test_acc 0.8938992042440317  test_acc 0.9151193633952255
70 : train_loss tensor(0.5148)  val_loss tensor(0.4981)  tmp_train_acc 0.9123143267848587  tmp_test_acc 0.896551724137931  test_acc 0.9151193633952255
