Namespace(Bern_lr=0.01, Inc1=1, Inc2=2, Inc3=3, Init='PPR', K=10, alpha=0.1, dataset='Pubmed', device=0, dprate=0.5, dropout=0.0, early_stopping=200, epochs=500, heads=8, hidden=32, lr=0.01, net='TSCGCN', output_heads=1, runs=1, seed=2108550661, train_rate=0.9, val_rate=0.09, weight_decay=0.0005)
---------------------------------------------
0 : train_loss tensor(0.6844)  val_loss tensor(0.6725)  tmp_train_acc 0.8080085357434256  tmp_test_acc 0.8133399701343952  test_acc 0.8133399701343952
1 : train_loss tensor(0.3846)  val_loss tensor(0.4254)  tmp_train_acc 0.855457227138643  tmp_test_acc 0.8541562966650075  test_acc 0.8541562966650075
2 : train_loss tensor(0.3362)  val_loss tensor(0.3756)  tmp_train_acc 0.8796836753906986  tmp_test_acc 0.8750622200099551  test_acc 0.8750622200099551
3 : train_loss tensor(0.3138)  val_loss tensor(0.3519)  tmp_train_acc 0.8872779765267056  tmp_test_acc 0.880537580886013  test_acc 0.880537580886013
4 : train_loss tensor(0.3005)  val_loss tensor(0.3251)  tmp_train_acc 0.8914203226008912  tmp_test_acc 0.8850174216027874  test_acc 0.8850174216027874
5 : train_loss tensor(0.2878)  val_loss tensor(0.3107)  tmp_train_acc 0.8967551622418879  tmp_test_acc 0.8964659034345446  test_acc 0.8964659034345446
6 : train_loss tensor(0.2807)  val_loss tensor(0.3322)  tmp_train_acc 0.8990146237368982  tmp_test_acc 0.8875062220009955  test_acc 0.8964659034345446
7 : train_loss tensor(0.2714)  val_loss tensor(0.2965)  tmp_train_acc 0.9029686813531664  tmp_test_acc 0.8974614235938277  test_acc 0.8974614235938277
8 : train_loss tensor(0.2678)  val_loss tensor(0.3011)  tmp_train_acc 0.9054164313060943  tmp_test_acc 0.8939771030363365  test_acc 0.8974614235938277
9 : train_loss tensor(0.2634)  val_loss tensor(0.3076)  tmp_train_acc 0.904349463377895  tmp_test_acc 0.8939771030363365  test_acc 0.8974614235938277
10 : train_loss tensor(0.2625)  val_loss tensor(0.2977)  tmp_train_acc 0.9052281428481768  tmp_test_acc 0.8939771030363365  test_acc 0.8974614235938277
